"RowNames","lon","lat","elevation","vegetation","exposure","slope","veg9"
"6653",640.86301372160005,696.95410082659998,1646,15,309,2,6
"6654",644.37330622160005,696.95410082659998,1673,15,351,16,6
"6655",739.15120372160004,696.95410082659998,864,40,192,16,9
"6656",742.66149622160003,696.95410082659998,862,40,207,19,9
"6657",746.17178872160002,696.95410082659998,783,40,206,3,9
"6658",749.68208122160001,696.95410082659998,718,40,67,5,9
"6659",753.19237372160001,696.95410082659998,644,40,47,3,9
"6660",756.7026662216,696.95410082659998,783,40,100,14,9
"6661",760.21295872159999,696.95410082659998,813,39,73,15,9
"6662",763.72325122159998,696.95410082659998,639,4,52,0,2
"6663",767.23354372159997,696.95410082659998,657,2,188,0,1
"6664",770.74383622159996,696.95410082659998,655,2,127,0,1
"6665",774.25412872159995,696.95410082659998,658,2,-1,0,1
"6666",777.76442122159995,696.95410082659998,687,2,203,3,1
"6667",482.89985122159999,694.40963582660004,1374,26,337,3,7
"6668",486.41014372159998,694.40963582660004,1427,26,78,8,7
"6669",489.92043622160003,694.40963582660004,1205,26,112,16,7
"6670",493.43072872160002,694.40963582660004,1198,26,305,13,7
"6671",496.94102122160001,694.40963582660004,1390,40,342,6,9
"6672",500.4513137216,694.40963582660004,1523,26,110,3,7
"6673",503.96160622159999,694.40963582660004,1410,26,69,2,7
"6674",507.47189872159998,694.40963582660004,1459,26,352,6,7
"6675",510.98219122159998,694.40963582660004,1532,26,141,5,7
"6676",514.49248372160002,694.40963582660004,1502,26,59,9,7
"6677",518.00277622160002,694.40963582660004,1464,26,198,4,7
"6678",521.51306872160001,694.40963582660004,1740,12,320,18,5
"6679",525.0233612216,694.40963582660004,1687,26,104,11,7
"6680",528.53365372159999,694.40963582660004,1554,26,90,0,7
"6681",532.04394622159998,694.40963582660004,1506,26,141,2,7
"6682",535.55423872159997,694.40963582660004,1475,26,90,1,7
"6683",539.06453122159996,694.40963582660004,1463,26,79,0,7
"6684",542.57482372159996,694.40963582660004,1462,26,-1,0,7
"6685",546.08511622159995,694.40963582660004,1461,26,169,0,7
"6686",549.59540872160005,694.40963582660004,1541,33,219,6,8
"6687",553.10570122160004,694.40963582660004,1532,12,147,5,5
"6688",556.61599372160003,694.40963582660004,1596,12,293,4,5
"6689",560.12628622160003,694.40963582660004,1514,12,6,14,5
"6690",563.63657872160002,694.40963582660004,1279,26,36,8,7
"6691",567.14687122160001,694.40963582660004,1471,12,190,9,5
"6692",570.6571637216,694.40963582660004,1578,12,203,9,5
"6693",574.16745622159999,694.40963582660004,1496,12,318,17,5
"6694",577.67774872159998,694.40963582660004,1585,15,208,1,6
"6695",581.18804122159997,694.40963582660004,1793,15,220,8,6
"6696",584.69833372159997,694.40963582660004,1832,15,247,23,6
"6697",588.20862622159996,694.40963582660004,1883,15,261,17,6
"6698",591.71891872159995,694.40963582660004,1781,15,212,9,6
"6699",595.22921122160005,694.40963582660004,1761,15,254,3,6
"6700",598.73950372160004,694.40963582660004,2046,15,155,14,6
"6701",602.24979622160004,694.40963582660004,2029,26,62,12,7
"6702",605.76008872160003,694.40963582660004,1768,36,165,2,8
"6703",609.27038122160002,694.40963582660004,2264,36,141,5,8
"6704",612.78067372160001,694.40963582660004,2081,15,146,11,6
"6705",616.2909662216,694.40963582660004,1763,15,163,15,6
"6706",619.80125872159999,694.40963582660004,1524,15,80,1,6
"6707",623.31155122159998,694.40963582660004,1777,15,182,8,6
"6708",626.82184372159998,694.40963582660004,1798,15,148,1,6
"6709",630.33213622159997,694.40963582660004,1738,15,61,20,6
"6710",633.84242872159996,694.40963582660004,1524,12,45,0,5
"6711",637.35272122159995,694.40963582660004,1585,26,225,0,7
"6712",640.86301372160005,694.40963582660004,1583,26,225,3,7
"6713",644.37330622160005,694.40963582660004,1585,12,247,1,5
"6714",742.66149622160003,694.40963582660004,877,40,89,11,9
"6715",746.17178872160002,694.40963582660004,792,40,-1,0,9
"6716",749.68208122160001,694.40963582660004,731,40,356,1,9
"6717",753.19237372160001,694.40963582660004,794,40,105,8,9
"6718",756.7026662216,694.40963582660004,724,40,24,7,9
"6719",760.21295872159999,694.40963582660004,667,3,339,1,1
"6720",763.72325122159998,694.40963582660004,670,3,342,0,1
"6721",767.23354372159997,694.40963582660004,637,2,225,0,1
"6722",770.74383622159996,694.40963582660004,638,2,146,0,1
"6723",774.25412872159995,694.40963582660004,643,2,243,1,1
"6724",777.76442122159995,694.40963582660004,655,2,212,1,1
"6725",482.89985122159999,691.86517082659998,1520,26,141,4,7
"6726",486.41014372159998,691.86517082659998,1463,33,-1,0,8
"6727",489.92043622160003,691.86517082659998,1326,26,81,13,7
"6728",493.43072872160002,691.86517082659998,1274,26,229,17,7
"6729",496.94102122160001,691.86517082659998,1342,26,177,17,7
"6730",500.4513137216,691.86517082659998,1348,26,189,14,7
"6731",503.96160622159999,691.86517082659998,1280,26,200,4,7
"6732",507.47189872159998,691.86517082659998,1341,26,315,0,7
"6733",510.98219122159998,691.86517082659998,1454,26,211,18,7
"6734",514.49248372160002,691.86517082659998,1564,26,330,6,7
"6735",518.00277622160002,691.86517082659998,1583,12,311,1,5
"6736",521.51306872160001,691.86517082659998,1707,12,82,0,5
"6737",525.0233612216,691.86517082659998,1632,12,152,3,5
"6738",528.53365372159999,691.86517082659998,1597,26,156,13,7
"6739",532.04394622159998,691.86517082659998,1546,26,94,7,7
"6740",535.55423872159997,691.86517082659998,1482,26,4,1,7
"6741",539.06453122159996,691.86517082659998,1463,26,-1,0,7
"6742",542.57482372159996,691.86517082659998,1458,2,98,0,1
"6743",546.08511622159995,691.86517082659998,1520,2,263,10,1
"6744",549.59540872160005,691.86517082659998,1462,26,315,0,7
"6745",553.10570122160004,691.86517082659998,1524,12,18,0,5
"6746",556.61599372160003,691.86517082659998,1533,12,106,3,5
"6747",560.12628622160003,691.86517082659998,1586,12,103,5,5
"6748",563.63657872160002,691.86517082659998,1577,12,311,13,5
"6749",567.14687122160001,691.86517082659998,1433,12,154,18,5
"6750",570.6571637216,691.86517082659998,1463,12,311,21,5
"6751",574.16745622159999,691.86517082659998,1503,15,359,12,6
"6752",577.67774872159998,691.86517082659998,1665,15,310,17,6
"6753",581.18804122159997,691.86517082659998,1748,15,170,10,6
"6754",584.69833372159997,691.86517082659998,1776,15,74,8,6
"6755",588.20862622159996,691.86517082659998,1648,15,31,5,6
"6756",591.71891872159995,691.86517082659998,1615,12,192,3,5
"6757",595.22921122160005,691.86517082659998,1648,15,289,8,6
"6758",598.73950372160004,691.86517082659998,1818,15,199,17,6
"6759",602.24979622160004,691.86517082659998,2069,36,142,7,8
"6760",605.76008872160003,691.86517082659998,1637,4,129,1,2
"6761",609.27038122160002,691.86517082659998,1962,26,270,17,7
